date,pm25,pm10,no2
2018/6/10,,12,5
2018/6/11,,13,7
2018/6/12,,12,4
2018/6/13,,15,3
2018/6/14,,10,3
2018/6/15,,10,3
2018/6/16,,11,3
2018/6/17,,11,3
2018/6/18,,8,3
2018/6/19,,7,7
2018/6/20,,15,7
2018/6/21,,16,3
2018/6/22,,8,2
2018/6/23,,5,2
2018/6/24,,5,3
2018/6/25,,5,4
2018/6/26,,7,3
2018/6/27,,9,4
2018/6/28,,8,4
2018/6/29,,16,2
2018/6/30,,10,2
2018/1/1,,18,6
2018/1/2,,5,14
2018/1/3,,4,16
2018/1/4,,13,16
2018/1/5,,15,11
2018/1/6,,26,12
2018/1/7,,24,11
2018/1/8,,23,7
2018/1/9,,28,11
2018/1/10,,16,10
2018/1/11,,16,9
2018/1/12,,23,8
2018/1/13,,22,4
2018/1/14,,17,8
2018/1/15,,20,11
2018/1/16,,22,4
2018/1/17,,2,9
2018/1/18,,6,6
2018/1/19,,2,12
2018/1/20,,10,4
2018/1/21,,15,14
2018/1/22,,26,9
2018/1/23,,13,22
2018/1/24,,34,18
2018/1/25,,40,16
2018/1/26,,48,7
2018/1/27,,22,7
2018/1/28,,17,4
2018/1/29,,6,6
2018/1/30,,8,18
2018/1/31,,23,15
2018/2/1,,31,7
2018/2/2,,6,6
2018/2/3,,13,8
2018/2/4,,16,15
2018/2/5,,27,11
2018/2/6,,33,17
2018/2/7,,26,10
2018/2/8,,32,8
2018/2/9,,39,9
2018/2/10,,31,13
2018/2/11,,37,7
2018/2/12,,15,6
2018/2/13,,15,7
2018/2/14,,27,16
2018/2/15,,41,17
2018/2/16,,30,11
2018/2/17,,38,6
2018/2/18,,18,17
2018/2/19,,33,15
2018/2/20,,31,9
2018/2/21,,43,10
2018/2/22,,35,9
2018/2/23,,37,4
2018/2/24,,23,4
2018/2/25,,23,7
2018/2/26,,34,6
2018/2/27,,36,9
2018/2/28,,39,14
2018/3/1,,51,13
2018/3/2,,41,14
2018/3/3,,55,11
2018/3/4,,60,9
2018/3/5,,41,19
2018/3/6,,43,29
2018/3/7,,47,14
2018/3/8,,14,25
2018/3/9,,40,21
2018/3/10,,47,10
2018/3/11,,23,12
2018/3/12,,11,7
2018/3/13,,8,6
2018/3/14,,8,14
2018/3/15,,23,15
2018/3/16,,12,7
2018/3/17,,27,3
2018/3/18,,18,5
2018/3/19,,25,7
2018/3/20,,29,7
2018/3/21,,23,20
2018/3/22,,41,7
2018/3/23,,23,7
2018/3/24,,32,5
2018/3/25,,29,14
2018/3/26,,36,7
2018/3/27,,28,19
2018/3/28,,22,11
2018/3/29,,11,11
2018/3/30,,11,4
2018/3/31,,12,2
2017/10/1,,26,18
2017/10/2,,37,14
2017/10/3,,25,8
2017/10/4,,12,10
2017/10/5,,15,4
2017/10/6,,7,5
2017/10/7,,7,4
2017/10/8,,4,6
2017/10/9,,7,10
2017/10/10,,15,10
2017/10/11,,14,11
2017/10/12,,13,5
2017/10/13,,10,8
2017/10/14,,11,13
2017/10/15,,16,21
2017/10/16,,39,21
2017/10/17,,38,21
2017/10/18,,49,15
2017/10/19,,39,18
2017/10/20,,41,15
2017/10/21,,30,5
2017/10/22,,12,3
2017/10/23,,4,5
2017/10/24,,11,19
2017/10/25,,27,10
2017/10/26,,14,6
2017/10/27,,14,3
2017/10/28,,9,1
2017/10/29,,4,4
2017/10/30,,4,8
2017/10/31,,13,12
2017/11/1,,15,16
2017/11/2,,21,13
2017/11/3,,22,12
2017/11/4,,26,9
2017/11/5,,26,6
2017/11/6,,6,20
2017/11/7,,42,21
2017/11/8,,33,12
2017/11/9,,22,15
2017/11/10,,21,8
2017/11/11,,10,6
2017/11/12,,6,4
2017/11/13,,5,7
2017/11/14,,10,14
2017/11/15,,19,19
2017/11/16,,41,9
2017/11/17,,17,8
2017/11/18,,18,3
2017/11/19,,7,5
2017/11/20,,7,11
2017/11/21,,3,
2017/11/23,,36,12
2017/11/24,,22,7
2017/11/25,,18,3
2017/11/26,,8,12
2017/11/27,,15,24
2017/11/28,,25,17
2017/11/29,,27,9
2017/11/30,,10,22
2017/12/1,,24,11
2017/12/2,,23,5
2017/12/3,,19,7
2017/12/4,,9,7
2017/12/5,,10,5
2017/12/6,,12,26
2017/12/7,,46,13
2017/12/8,,29,4
2017/12/9,,7,12
2017/12/10,,10,10
2017/12/11,,5,7
2017/12/12,,5,15
2017/12/13,,20,21
2017/12/14,,21,17
2017/12/15,,12,9
2017/12/16,,13,5
2017/12/17,,14,8
2017/12/18,,12,11
2017/12/19,,14,15
2017/12/20,,22,8
2017/12/21,,6,9
2017/12/22,,7,5
2017/12/23,,9,3
2017/12/24,,8,12
2017/12/25,,21,
2017/12/27,,9,4
2017/12/28,,3,10
2017/12/29,,10,22
2017/12/30,,21,
2017/7/1,,1,2
2017/7/2,,3,3
2017/7/3,,7,9
2017/7/4,,12,10
2017/7/5,,12,10
2017/7/6,,16,10
2017/7/7,,17,4
2017/7/8,,10,7
2017/7/9,,12,12
2017/7/10,,15,4
2017/7/11,,5,6
2017/7/12,,8,3
2017/7/13,,6,7
2017/7/14,,13,3
2017/7/15,,6,2
2017/7/16,,7,7
2017/7/17,,6,11
2017/7/18,,17,12
2017/7/19,,19,8
2017/7/20,,13,6
2017/7/21,,8,7
2017/7/22,,13,4
2017/7/23,,9,7
2017/7/24,,8,3
2017/7/25,,4,8
2017/7/26,,3,4
2017/7/27,,7,4
2017/7/28,,6,6
2017/7/29,,11,6
2017/7/30,,12,9
2017/7/31,,12,10
2017/8/1,,19,5
2017/8/2,,16,12
2017/8/3,,25,6
2017/8/4,,21,5
2017/8/5,,10,2
2017/8/6,,6,5
2017/8/7,,10,6
2017/8/8,,14,8
2017/8/9,,12,12
2017/8/10,,21,4
2017/8/11,,7,2
2017/8/12,,4,2
2017/8/13,,4,6
2017/8/14,,6,8
2017/8/15,,11,6
2017/8/16,,8,8
2017/8/17,,16,11
2017/8/18,,20,2
2017/8/19,,3,2
2017/8/20,,4,4
2017/8/21,,7,5
2017/8/22,,9,6
2017/8/23,,11,15
2017/8/24,,26,8
2017/8/25,,14,7
2017/8/26,,13,4
2017/8/27,,12,5
2017/8/28,,15,12
2017/8/29,,19,13
2017/8/30,,23,14
2017/8/31,,24,3
2017/9/1,,4,2
2017/9/2,,3,2
2017/9/3,,5,5
2017/9/4,,5,6
2017/9/5,,7,
2017/9/11,,9,5
2017/9/12,,4,11
2017/9/13,,10,8
2017/9/14,,11,5
2017/9/15,,4,5
2017/9/16,,8,3
2017/9/17,,9,13
2017/9/18,,8,6
2017/9/19,,8,4
2017/9/20,,12,4
2017/9/21,,10,6
2017/9/22,,17,6
2017/9/23,,17,4
2017/9/24,,9,12
2017/9/25,,21,16
2017/9/26,,23,15
2017/9/27,,37,14
2017/9/28,,36,13
2017/9/29,,33,8
2017/9/30,,24,9
2017/4/1,,20,12
2017/4/2,,18,6
2017/4/3,,25,2
2017/4/4,,9,4
2017/4/5,,15,2
2017/4/6,,10,5
2017/4/7,,14,3
2017/4/8,,18,9
2017/4/9,,12,16
2017/4/10,,24,3
2017/4/11,,14,13
2017/4/12,,26,9
2017/4/13,,14,8
2017/4/14,,19,7
2017/4/15,,17,2
2017/4/16,,10,2
2017/4/17,,8,3
2017/4/18,,9,3
2017/4/19,,12,4
2017/4/20,,15,5
2017/4/21,,20,4
2017/4/22,,13,1
2017/4/23,,5,10
2017/4/24,,15,12
2017/4/25,,22,9
2017/4/26,,20,4
2017/4/27,,8,4
2017/4/28,,7,3
2017/4/29,,16,6
2017/4/30,,17,3
2017/5/1,,17,7
2017/5/2,,7,23
2017/5/3,,23,16
2017/5/4,,26,4
2017/5/5,,9,4
2017/5/6,,13,3
2017/5/7,,12,3
2017/5/8,,10,4
2017/5/9,,9,10
2017/5/10,,22,11
2017/5/11,,22,13
2017/5/12,,15,4
2017/5/13,,5,2
2017/5/14,,4,3
2017/5/15,,7,4
2017/5/16,,9,11
2017/5/17,,23,9
2017/5/18,,27,7
2017/5/19,,23,1
2017/5/20,,8,1
2017/5/21,,14,3
2017/5/22,,16,8
2017/5/23,,17,4
2017/5/24,,15,2
2017/5/25,,7,4
2017/5/26,,10,3
2017/5/27,,10,4
2017/5/28,,11,12
2017/5/29,,16,12
2017/5/30,,23,4
2017/5/31,,12,4
2017/6/1,,13,10
2017/6/2,,16,5
2017/6/3,,19,3
2017/6/4,,12,3
2017/6/5,,7,8
2017/6/6,,12,4
2017/6/7,,4,5
2017/6/8,,6,10
2017/6/9,,11,4
2017/6/10,,6,5
2017/6/11,,7,11
2017/6/12,,12,4
2017/6/13,,11,4
2017/6/14,,10,6
2017/6/15,,9,7
2017/6/16,,13,2
2017/6/17,,7,2
2017/6/18,,6,8
2017/6/19,,10,10
2017/6/20,,13,5
2017/6/21,,17,10
2017/6/22,,18,7
2017/6/23,,20,4
2017/6/24,,20,3
2017/6/25,,16,6
2017/6/26,,9,11
2017/6/27,,16,9
2017/6/28,,18,7
2017/6/29,,5,4
2017/6/30,,3,3
2017/1/2,,36,5
2017/1/3,,13,4
2017/1/4,,5,3
2017/1/5,,5,3
2017/1/6,,10,5
2017/1/7,,12,11
2017/1/8,,23,15
2017/1/9,,27,11
2017/1/10,,36,33
2017/1/11,,65,14
2017/1/12,,14,9
2017/1/13,,12,5
2017/1/14,,6,5
2017/1/15,,8,16
2017/1/16,,18,8
2017/1/17,,23,10
2017/1/18,,33,22
2017/1/19,,61,33
2017/1/20,,71,34
2017/1/21,,83,16
2017/1/22,,59,15
2017/1/23,,65,9
2017/1/24,,45,14
2017/1/25,,30,15
2017/1/26,,44,9
2017/1/27,,47,8
2017/1/28,,52,9
2017/1/29,,50,11
2017/1/30,,43,14
2017/1/31,,52,31
2017/2/1,,59,25
2017/2/2,,48,21
2017/2/3,,29,21
2017/2/4,,33,11
2017/2/5,,12,15
2017/2/6,,21,8
